@RELATION atributos_pacotes

@ATTRIBUTE tamtotal_med_pacote			NUMERIC
@ATTRIBUTE desv_padrao_tamtotal			NUMERIC
@ATTRIBUTE variancia_tamtotal			NUMERIC
@ATTRIBUTE tamtotal_pacote_maior		NUMERIC
@ATTRIBUTE tamtotal_pacote_menor		NUMERIC
@ATTRIBUTE com_med_cabecalhoIP			NUMERIC
@ATTRIBUTE codigo_protocolo				NUMERIC
@ATTRIBUTE srcporta						NUMERIC
@ATTRIBUTE dstporta						NUMERIC
@ATTRIBUTE class 						{p2p,ssl,web,ftp,dns}

@DATA
818.04894,702.50440,493512.43190,1922.0,66.0,67.21913,6,23008,53258,p2p
800.38790,702.75944,493870.83556,1506.0,66.0,68.43741,6,53367,23008,p2p
66.72727,18.42331,339.41818,122.0,60.0,57.27273,6,50851,6881,p2p
67.33333,20.51828,421.00000,122.0,60.0,55.77778,6,50990,6881,p2p
73.20000,27.29835,745.20000,122.0,60.0,57.20000,6,50503,40500,p2p
73.20000,27.29835,745.20000,122.0,60.0,57.20000,6,50770,40500,p2p
843.81452,713.41979,508967.79759,1506.0,60.0,56.58685,6,48906,50480,p2p
862.84267,712.40602,507522.33984,1506.0,60.0,57.47414,6,48906,50742,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,50244,55040,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,50338,55040,p2p
66.36364,18.47849,341.45455,122.0,60.0,56.90909,6,50426,55040,p2p
66.60000,19.48333,379.60000,122.0,60.0,55.60000,6,50548,55040,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,50719,55040,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,50879,55040,p2p
91.57143,31.58557,997.64835,122.0,60.0,56.28571,6,49828,7957,p2p
78.00000,28.31254,801.60000,122.0,60.0,57.27273,6,49892,7957,p2p
66.80000,19.41820,377.06667,122.0,60.0,56.40000,6,50009,7957,p2p
138.00000,127.01544,16132.92308,448.0,60.0,55.14286,6,50063,7957,p2p
70.15385,23.02841,530.30769,122.0,60.0,56.46154,6,50140,7957,p2p
69.25000,21.40594,458.21429,122.0,60.0,58.50000,6,6890,6890,p2p
78.28571,29.87593,892.57143,122.0,60.0,56.28571,6,50279,6890,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,6890,6890,p2p
78.28571,29.87593,892.57143,122.0,60.0,56.28571,6,50530,6890,p2p
74.22222,27.10064,734.44444,122.0,60.0,55.77778,6,50709,6890,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,6890,6890,p2p
73.20000,27.29835,745.20000,122.0,60.0,57.20000,6,50820,52859,p2p
67.55556,20.43961,417.77778,122.0,60.0,56.66667,6,50248,48794,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,50372,48794,p2p
155.00000,164.99697,27224.00000,600.0,60.0,55.60000,6,50468,48794,p2p
161.60000,167.22985,27965.82222,581.0,60.0,55.60000,6,50585,48794,p2p
129.20000,137.65288,18948.31429,569.0,60.0,55.06667,6,50728,48794,p2p
129.13333,138.94699,19306.26667,564.0,60.0,55.06667,6,50897,48794,p2p
121.00000,135.66088,18403.87500,584.0,60.0,54.94118,6,50995,48794,p2p
67.33333,20.51828,421.00000,122.0,60.0,55.77778,6,50809,27212,p2p
66.60000,19.48333,379.60000,122.0,60.0,55.60000,6,27212,27212,p2p
67.33333,20.51828,421.00000,122.0,60.0,55.77778,6,50964,27212,p2p
66.36364,18.47849,341.45455,122.0,60.0,56.90909,6,50243,40943,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,50290,40943,p2p
724.13433,712.12837,507126.81502,1506.0,60.0,56.38806,6,40943,50376,p2p
850.08904,707.08980,499975.98512,1506.0,60.0,54.10959,6,40943,50495,p2p
67.33333,20.51828,421.00000,122.0,60.0,55.77778,6,50695,40943,p2p
67.33333,20.51828,421.00000,122.0,60.0,55.77778,6,50863,40943,p2p
304.67097,507.05971,257109.54688,1506.0,66.0,67.44516,6,56219,62348,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,50266,50266,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,50321,50321,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,50321,50321,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,50321,50321,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,50321,50321,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,50321,50321,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,50810,30138,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,50892,30138,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,50973,30138,p2p
66.60000,19.48333,379.60000,122.0,60.0,55.60000,6,50321,50321,p2p
65.69231,17.00679,289.23077,122.0,60.0,56.76923,6,50321,50469,p2p
66.60000,19.48333,379.60000,122.0,60.0,55.60000,6,50321,50321,p2p
66.60000,19.48333,379.60000,122.0,60.0,55.60000,6,50321,50321,p2p
66.60000,19.48333,379.60000,122.0,60.0,55.60000,6,50321,50321,p2p
65.69231,17.00679,289.23077,122.0,60.0,56.76923,6,50321,51009,p2p
69.71429,23.07751,532.57143,122.0,60.0,57.42857,6,50251,50321,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,50321,50321,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,50321,50321,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,50321,50321,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,50321,50321,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,50321,50321,p2p
66.18182,18.53547,343.56364,122.0,60.0,56.18182,6,50277,53411,p2p
66.60000,19.48333,379.60000,122.0,60.0,55.60000,6,50384,50384,p2p
66.60000,19.48333,379.60000,122.0,60.0,55.60000,6,50482,50482,p2p
118.54839,110.53441,12217.85591,560.0,60.0,54.51613,6,53411,50593,p2p
66.60000,19.48333,379.60000,122.0,60.0,55.60000,6,50778,50778,p2p
66.60000,19.48333,379.60000,122.0,60.0,55.60000,6,50927,50927,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,49465,16889,p2p
128.77778,77.13750,5950.19444,283.0,60.0,55.77778,6,49463,48802,p2p
65.23077,17.07900,291.69231,122.0,60.0,55.84615,6,50222,50321,p2p
65.28571,16.41026,269.29670,122.0,60.0,56.57143,6,50284,50321,p2p
65.50000,17.80960,317.18182,122.0,60.0,55.33333,6,50399,50321,p2p
65.50000,17.80960,317.18182,122.0,60.0,55.33333,6,50529,50321,p2p
65.50000,17.80960,317.18182,122.0,60.0,55.33333,6,50710,50321,p2p
65.23077,17.07900,291.69231,122.0,60.0,55.84615,6,50886,50321,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,49486,63303,p2p
136.17647,115.12397,13253.52941,370.0,60.0,56.82353,6,49552,63303,p2p
67.33333,20.51828,421.00000,122.0,60.0,55.77778,6,50483,21785,p2p
139.15385,151.96208,23092.47436,592.0,60.0,55.23077,6,21785,50554,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,50743,21785,p2p
144.58333,161.80710,26181.53788,602.0,60.0,55.33333,6,21785,21785,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,50979,21785,p2p
67.33333,20.51828,421.00000,122.0,60.0,55.77778,6,50479,36018,p2p
67.33333,20.51828,421.00000,122.0,60.0,55.77778,6,50544,36018,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,50648,36018,p2p
67.33333,20.51828,421.00000,122.0,60.0,55.77778,6,50741,36018,p2p
67.33333,20.51828,421.00000,122.0,60.0,55.77778,6,50915,36018,p2p
67.60000,19.20185,368.71111,122.0,60.0,58.40000,6,50212,50212,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,50280,50280,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,50321,50321,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,50321,50321,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,50321,50321,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,50321,50321,p2p
66.72727,18.42331,339.41818,122.0,60.0,57.27273,6,51005,6881,p2p
66.60000,19.48333,379.60000,122.0,60.0,55.60000,6,27215,27215,p2p
66.60000,19.48333,379.60000,122.0,60.0,55.60000,6,27215,27215,p2p
71.81818,24.82667,616.36364,122.0,60.0,56.18182,6,50245,21503,p2p
67.33333,20.51828,421.00000,122.0,60.0,55.77778,6,50362,21503,p2p
67.33333,20.51828,421.00000,122.0,60.0,55.77778,6,50462,21503,p2p
71.63636,24.91294,620.65455,122.0,60.0,55.45455,6,50592,21503,p2p
67.33333,20.51828,421.00000,122.0,60.0,55.77778,6,50768,21503,p2p
67.33333,20.51828,421.00000,122.0,60.0,55.77778,6,50911,21503,p2p
68.75000,21.53900,463.92857,122.0,60.0,58.00000,6,50202,50321,p2p
68.22222,20.25943,410.44444,122.0,60.0,58.00000,6,50321,50282,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,50321,50321,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,50321,50321,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,50321,50321,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,50321,50321,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,50321,50321,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,50321,50321,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,50321,50321,p2p
71.00000,25.00400,625.20000,122.0,60.0,56.66667,6,50321,50321,p2p
511.00505,628.41677,394907.63957,1466.0,66.0,68.56566,6,40064,26085,p2p
97.33333,75.31158,5671.83333,337.0,60.0,55.14286,6,49693,21540,p2p
67.33333,20.51828,421.00000,122.0,60.0,55.77778,6,49772,21540,p2p
